,composer,description,symphony,file,part,tempo,bpm,duration,zero_crossings,spectral_centroid_avg,spectral_bw_avg,Chroma_A,Chroma_A#,Chroma_B,Chroma_C,Chroma_C#,Chroma_D,Chroma_D#,Chroma_E,Chroma_F,Chroma_F#,Chroma_G,Chroma_G#,MFCC_0,MFCC_1,MFCC_10,MFCC_11,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_SD_0,MFCC_SD_1,MFCC_SD_10,MFCC_SD_11,MFCC_SD_2,MFCC_SD_3,MFCC_SD_4,MFCC_SD_5,MFCC_SD_6,MFCC_SD_7,MFCC_SD_8,MFCC_SD_9,Chroma_SD_A,Chroma_SD_A#,Chroma_SD_B,Chroma_SD_C,Chroma_SD_C#,Chroma_SD_D,Chroma_SD_D#,Chroma_SD_E,Chroma_SD_F,Chroma_SD_F#,Chroma_SD_G,Chroma_SD_G#
11,albeniz,Albeniz  Isaac(1860-1909),Suite espanola,alb_se6.mp3,Aragon (Fantasia),Allegro,105.46875,243.5134693877551,366638,799.0406701594952,762.6848269870642,0.25760700794386354,0.18217418217669323,0.159143069132794,0.2571932368931358,0.2234543204509802,0.20297390518863526,0.2460175266234666,0.34320944849595,0.301877182211308,0.24585172252767343,0.3081391554436325,0.30770469489411073,-363.31875074533264,247.37548330871,-2.753883785919099,1.2145867586179413,15.674590875119861,-35.978218600431674,-0.2642879117827648,-6.013161134683771,-18.172774854529,-8.160558863521024,-2.619056390236882,-5.2297409598955005,39.583043136723425,23.16709807478131,9.002368411189074,9.049252146672497,13.524435288683666,9.36154631052617,9.201822784317423,9.594113585161752,7.240585720806099,9.544854323062513,8.764285953170628,9.578457267414633,0.1453236742380109,0.11511801061602513,0.12491474482993502,0.121394552623787,0.08496890235355442,0.14105465765134534,0.11677057343428983,0.153677019572527,0.10795488151339404,0.12305197290738683,0.1714893403673015,0.11419146178079691
12,albeniz,Albeniz  Isaac(1860-1909),Suite espanola,alb_se7.mp3,Castilla (Seguidillas),Allegro,166.70866935483872,156.39510204081634,229950,779.0970699737059,772.809345223649,0.18596190207765306,0.2504800455954015,0.23737523329344298,0.34317319088486775,0.37466731570931927,0.26726120835421374,0.2313915989981739,0.1611797270323321,0.26894266908724423,0.2915011515740432,0.24706045298612841,0.23051280765845955,-357.44500541356274,221.8843787201349,-5.214963623601671,-1.7857343479967203,27.497783668694577,-33.355194161816016,-3.3305201520854473,5.08048563122995,-8.433690652874843,-10.735295598457899,-6.471021917172744,-6.188171736184581,37.322383694404856,22.33505872412255,9.555077601901022,9.741326761362048,21.245368437877268,7.924352422554358,9.4755754836519,8.739066145250494,8.040378746062775,9.61136257357272,8.220351228373467,7.864783885501515,0.09134035391836565,0.10351366037574354,0.11927093487904673,0.10464596025998707,0.13770829578839,0.08490639062478451,0.14529540281968878,0.08931256627417682,0.08639212838465085,0.15979439552077518,0.08400358417125327,0.1618973967048912
13,albeniz,Albeniz  Isaac(1860-1909),Suite espanola,alb_se8.mp3,Cuba (Notturno),Allegretto,135.99917763157896,272.2220408163265,326088,641.1449507307832,712.430534837249,0.2503727887560557,0.34220995984957814,0.20997298169364262,0.1276164000224432,0.12568782360720313,0.2997571388877661,0.33879649578515675,0.2761585313648458,0.24708403074353294,0.213588158472229,0.2864059304243508,0.24526720100786628,-383.79258952065106,240.17796034052682,-10.918664719345795,-7.040002947034781,39.281333516857906,-33.50539953742196,-5.335440721703426,3.3567798717074555,-12.689013502916017,-11.220874794524537,-2.85575877362031,-6.666560822383216,22.393015821192716,16.1156537444836,7.001340482079176,6.956556468912793,14.498176208242398,6.955451518979815,7.9814575170053415,7.3948154195757105,5.894717678358152,6.857128648122812,5.74380341761003,6.127122929426792,0.12506198349036832,0.1426228629672032,0.1075629728536485,0.1323660303457882,0.13144656146672629,0.12630725011367266,0.16339220763132592,0.09009825871816315,0.17166567643685177,0.09481205038744636,0.1530583422370907,0.13883086290700095
14,bach,Bach  Johann Sebastian(1685-1750),The Well-Tempered Clavier Part I BWV 846-869,bach_846.mp3,Prelude and Fugue in C major BWV 846,,126.04801829268291,227.31755102040816,225662,647.4894291228965,884.7771759586218,0.1603728355789008,0.183178133368551,0.296519800695813,0.33078910769129494,0.2538573235287209,0.22729655879068847,0.3165339299118885,0.2891346318319143,0.21683350227721385,0.17358874248211492,0.21751276595167818,0.18640731635480937,-452.63655974268215,244.35399306883818,-15.784472673897927,-7.1885431671978095,13.283295021963163,-29.530633849107236,9.44739706162517,-1.1881457010549787,-15.525296348003842,-8.083398274746903,-10.706149383201579,-19.412525971787144,50.391873111783696,40.04941554398019,10.25907069039109,8.918947230387912,12.682293040795063,10.101137525223036,8.006187037081574,9.170133702319468,7.206268550292316,6.842254193589369,7.9247907270136375,10.337455713665202,0.18847810299273535,0.13222656097219096,0.161283501688202,0.13273909924739227,0.11227389099831646,0.22126132959093028,0.08859934181267405,0.2240129343873192,0.13566777731327148,0.12289203403196676,0.1513926134557024,0.10775110854444636
15,bach,Bach  Johann Sebastian(1685-1750),The Well-Tempered Clavier Part I BWV 846-869,bach_847.mp3,Prelude and Fugue in C minor BWV 847,,143.5546875,191.5297959183673,210332,780.6599167276103,973.0228241690633,0.20513252505710156,0.18006434201204646,0.20904473720583078,0.21292662724534214,0.23417659308791294,0.3136505335826372,0.3126755215611034,0.27892790666138806,0.3049780435961014,0.2730122035397431,0.2985910659162188,0.26957647564528087,-296.0768164834952,256.7277762922361,-8.592928853803608,-8.677594561788904,-13.859258196737702,-17.7529441929201,20.207060125801657,-3.6009189474178553,-2.597879022304225,1.378528564757952,-4.385362895392233,-4.75884760471685,63.48030004877797,43.0312621204934,5.896266085443059,6.275723408697948,21.357676382760168,13.841680091381681,8.117180558314919,9.086010094748818,7.831626810737326,5.869889490896446,5.3863464551278515,5.559662072930012,0.13119972412723807,0.14461514607801604,0.10477451221291006,0.13801572803440407,0.11712022299898488,0.1487574515565149,0.11583209408385538,0.09520944227937167,0.12610933697842522,0.0765693036267281,0.12205661419536847,0.12311595850666254
16,bach,Bach  Johann Sebastian(1685-1750),The Well-Tempered Clavier Part I BWV 846-869,bach_850.mp3,Prelude and Fugue in D major BWV 850,,117.45383522727272,176.1959183673469,191426,736.3415590056774,937.9678925581152,0.21093815198974372,0.18746921726673801,0.19345944686763736,0.20915601790851834,0.3066559891676664,0.3183563399591283,0.2896678947143063,0.25244977524772083,0.24348332675466602,0.28023552331727725,0.2476655099508844,0.21224833611747046,-394.53646138883687,244.3174450687161,-9.462047365273694,1.6090911817105042,6.375659005830825,-31.775032378414796,11.653312306444601,1.6123113058482543,-11.17318387390091,-2.081942132953594,-3.385182109236444,-12.092999463137144,49.838346331586585,39.600817436060844,12.31312227359561,12.723902670519855,15.176764000560363,9.716482296854284,7.955476552233238,12.306751776963235,8.118829857184569,6.260066375911005,7.403508929455277,11.588237657976846,0.13764327937941212,0.12549234608296306,0.15668446917013681,0.14058704311778614,0.14674174552987707,0.1634479617299882,0.13327521817522647,0.15118666465673994,0.13832725644830687,0.15570382903403926,0.1485922708957055,0.1364636751112078
17,balak,Balakirew  Mili Alexejewitsch(1837-1910),Islamej(Oriental fantasia),islamei.mp3,Islamej,Presto con fuoco,126.04801829268291,498.4859863945578,575308,680.9980487735911,780.1691020578422,0.35262495048943554,0.3434198968882804,0.24099204607800764,0.24438029104200842,0.2502072393029212,0.1629087220228609,0.16362240899496946,0.189979616743114,0.22360975843572112,0.1850538679615125,0.21371617142027366,0.2981463555637875,-397.2945114474235,228.04330603527396,-6.034609755739999,-5.603547410455318,45.345572208926164,-22.237647460871717,-4.954611887944416,5.726612471878111,-2.057830854959911,-10.84987585588571,-12.283093336905537,-8.460562204841324,51.41614146267059,24.303965871076514,6.871880744984102,5.332102012176476,35.82574718866209,13.581888939086364,14.439787459031866,7.277639966958294,9.492449913841758,6.806494227847634,6.838560636060339,6.499286653360969,0.11303404757998994,0.17667055682574553,0.1277137184000621,0.1402716096386296,0.16828183356095266,0.13024100084770857,0.15475863121045788,0.12540049672248282,0.1649672568121948,0.13847330874867075,0.15286359472414454,0.1855007027775118
18,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 5 C minor Opus 10/1,beethoven_opus10_1.mp3,1. Movement,Allegro molto e con brio,178.20581896551724,394.0571428571429,409118,603.7238215981546,743.2738722568132,0.09901047063319847,0.11431727847918821,0.24517228907597607,0.2771095333560987,0.18085419015638332,0.2900274470935909,0.31963252267179126,0.21263286741590054,0.18237336055492098,0.3188772089692873,0.3968147956551952,0.31330699255126016,-394.2984509094744,207.41930987617124,-4.493705886714148,-7.512284098592971,41.144019666256746,-13.815050962667788,-1.699766456462828,1.5560157090748312,-3.4543300304415414,-8.150934807497597,-9.287733674297474,-5.522081508794517,73.33028914804402,52.54621886585965,7.060261713492114,9.626955410565914,27.07740274243885,14.749750083598245,13.875208175651897,8.287879140075349,10.983381388846992,10.626909505632485,7.483764791520776,7.371992159219224,0.089117298433652,0.10007565860382925,0.13204134501900996,0.11718281351381918,0.09786370040632707,0.10708820679274128,0.12215658094856138,0.12451711899307188,0.18675417046134313,0.10986256203511294,0.16426458404782454,0.10457571786482608
19,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 5 C minor Opus 10/1,beethoven_opus10_2.mp3,2. Movement,Adagio molto,139.6748310810811,393.6391836734694,353624,475.3426406366059,766.6274258570203,0.29331471792067376,0.18452093590071386,0.1592356595322915,0.1988195658147837,0.1538928798838947,0.2643064822458521,0.3267662434728843,0.21219513235505671,0.07231343406333954,0.11580255625696176,0.29609131368882585,0.35974118589604454,-476.47894441330675,184.59835038502885,-7.385639802553727,-9.836474769141885,78.76099171134473,7.223333508236175,-5.609950221033709,2.6694555445573305,1.3809640409677928,-5.896948675980932,-8.093349782810646,-6.7001343847186705,42.32834473199632,38.46958848065673,6.3734220160207355,8.371239908939689,12.418606904785078,15.913247499585752,8.901504164489445,7.401526474992506,6.926904041911984,6.996625743486407,5.993011676950621,6.616055338071077,0.14824614969462924,0.21982678109688925,0.1523061669697111,0.15194381167469398,0.1353794634767229,0.15275407206852779,0.21712581403639675,0.14646245152523338,0.15643006967268902,0.1508904850223209,0.1573580252956842,0.1874171654738419
20,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 5 C minor Opus 10/1,beethoven_opus10_3.mp3,3. Movement,Prestissimo,99.38401442307692,219.1934693877551,218308,585.5446641551832,703.6306340301203,0.21455230545871531,0.25090419770148675,0.3104275183218887,0.30732789324606424,0.21237976755165325,0.19565935077194369,0.20390803646511138,0.1620681280078002,0.1687324115649172,0.25994549839170716,0.32319918124249314,0.2773490748000845,-389.38488535243096,219.22295602604808,-4.512953672534356,-7.579181724825638,53.64852685931884,-15.43788007487187,-5.83324176479446,5.839473643840179,3.32846086620569,-4.0477336206261,-7.8050516095774025,-5.487132975199756,56.45437012765688,37.55783906524124,7.406627813045505,9.949795328063315,29.902413662910032,13.895932890963945,11.88945598835523,8.148200677259958,10.64299647304651,8.88664061949278,7.933274482846272,6.638580309391649,0.13159519927955013,0.1670527994849228,0.14179457547901256,0.1922930873189822,0.1355119542430132,0.15370289905409118,0.15820812056802308,0.12055723767930833,0.1508708324102074,0.12306057061915998,0.1727847800066558,0.1411566668018744
21,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 8 C minor(Pathetique) Opus 13,pathetique_1.mp3,1. Movement,Grave - Allegro di molto e con brio,151.9990808823529,562.6775510204081,571466,562.6758673300775,813.0371092607647,0.2340376266799456,0.2065085441634665,0.26570958427666336,0.29207799916858024,0.1515988148388692,0.2197785799829007,0.2916700693422196,0.1300898365329501,0.10083519898839546,0.28145018596927546,0.3418120324507181,0.35859958366304745,-469.1414912570364,158.80287132261333,-8.963128521838959,-11.577912313538638,46.61963633264251,-7.1965223319896205,-7.469131511899917,-0.5581031517314352,-2.852262358511399,-10.480751238017717,-14.38091758145128,-11.561892613690674,78.96953465656053,62.91018628525354,8.38430139540901,8.258239109911528,29.81186412575508,20.753889474483593,15.42486306579709,12.059518700728892,11.312178229879429,9.699382780263985,7.778432404025689,8.459797434943871,0.22402855757516274,0.14077171379136935,0.1474010456552611,0.11130075308252935,0.1063875785658381,0.13945616258926163,0.15462271969283373,0.1167099822566571,0.10958493180647484,0.1354250256218825,0.16314123543471531,0.09591027801745149
22,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 8 C minor(Pathetique) Opus 13,pathetique_2.mp3,2. Movement,Adagio cantabile,109.95678191489357,309.7338775510204,199136,379.8361216760333,719.5413757648247,0.22156036439922863,0.2297290131318614,0.17507443626819114,0.1631315789932468,0.15776551778440723,0.2913124042262415,0.37540281300198647,0.29869944129811016,0.13236441792929415,0.18093070779513087,0.2535726845162672,0.2240144900156987,-517.9850285827545,213.35812520067657,-6.56746966135827,-7.379073396666162,103.4270873943523,17.89733389455138,-5.346382256093866,6.729356754857278,13.104168011577576,3.797946337595582,-6.636370057101162,-8.544463090411643,22.233300394481954,19.16314911254027,5.621320089088555,4.639751474502261,7.6704880799691635,11.722076090708082,5.5741280561276145,6.796783716529449,5.545815916387255,6.670420000509826,6.530008377873659,6.7192547941000464,0.12603869402487036,0.19845400527552365,0.12222593335360706,0.1525741515955913,0.15863025127472494,0.1328909658885992,0.23452543100029358,0.14317499801101324,0.21493191663907618,0.1518695042628884,0.175658667322547,0.15589930182659378
23,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 8 C minor(Pathetique) Opus 13,pathetique_3.mp3,3. Movement,Rondo allegro,103.359375,260.0489795918367,287380,604.3577107553376,723.3826833813272,0.15463948843173292,0.16971696417330917,0.2417041956528287,0.2695759567262432,0.20566024369660663,0.2140653546459944,0.2653431331372005,0.23310955931083374,0.20825309956193674,0.2701754552123787,0.34907547757026725,0.2859638959350811,-401.520839867318,197.19058005744057,-2.341284137336774,-2.2960256632639244,56.41033471940388,-12.373354517916383,-9.537857643289334,0.6671541969800288,-2.6817154709388533,-8.048511163473403,-8.117771225968704,-4.786593373015585,52.11780825631595,42.31499613794082,8.858006028596908,10.200546493833011,21.129201749749175,11.718427299235245,10.08300454819355,9.252230745262306,8.20405303255382,7.557257343448051,7.951234505650721,9.388706476172022,0.13607984043999585,0.1591586625085938,0.1357711945598272,0.18696668794752008,0.13796692654865048,0.1585102428892595,0.15270802962285704,0.13405785167426196,0.1759616887399693,0.12530014597226763,0.16917602320324107,0.15923563881812614
24,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 11 Bb major Opus 22,beethoven_opus22_1.mp3,1. Movement,Allegro con brio,161.4990234375,402.99102040816325,387972,588.7972634398851,680.1482141733436,0.3370142588365939,0.358156103166002,0.2715251743041739,0.22416617367463257,0.20124067501609755,0.2236758188548558,0.19137726072018338,0.23847557163518734,0.2852104344736603,0.21231352946158114,0.15890934038445742,0.19958240126436844,-391.3160230918718,225.66010500190083,-3.2869369937143,-3.902074093718851,41.51673631904709,-18.894220767106468,-0.5287796948410195,3.1447131186043182,-4.45261063375079,-7.626207569418871,-9.315780041512529,-7.0912786356280995,70.33670525084239,57.228951698536164,7.422815178606485,7.050833849515564,26.636858414283648,14.112166838231747,10.398503924734845,9.661689479966817,10.064931983861742,8.202051773869998,8.098626260277289,7.496451648994397,0.14580177320892843,0.16918241305420195,0.1205573820105172,0.18301305627805503,0.13937818757428902,0.13481941023410235,0.13391751716991365,0.12387246433526718,0.17645587782523622,0.11961585968646385,0.16717328466048717,0.12828187575562472
25,beethoven,Beethoven  Ludwig van(1770-1827),Sonata No. 11 Bb major Opus 22,beethoven_opus22_2.mp3,2. Movement,Adagio con molta espressione,129.19921875,322.690612244898,281874,470.2344118542629,767.3940156069667,0.29468770553159473,0.36980673151435184,0.24380379537999747,0.09288071667959771,0.0716745196028877,0.23900217919199948,0.32232309689192445,0.22841510177000077,0.12592587812381603,0.2206487090696366,0.3433951995334468,0.2958707309481298,-493.2174338208624,219.73234456090591,-6.49023999239137,-7.715828859770911,83.80824549842835,3.874727205976576,-4.763196529974596,3.7519725146442826,1.612900394782166,-5.00265090376686,-8.132583839142734,-7.410353769591587,35.56558073631261,22.388222383583848,8.969684106403964,8.003898337474887,19.454323098514227,16.476236543502875,7.869323790313813,7.192429601362811,8.00346784015475,7.808286913182365,6.414895048980121,8.207436667776005,0.1214770492650365,0.1523338791478015,0.0985032768887873,0.15384744855794139,0.09991101003567732,0.13054926522025065,0.16974422385474122,0.13360864987009338,0.16971275827832602,0.11922426574223141,0.1419257760029256,0.10873586777663484
